path,latency,noise,SNR
A->B,0.0017677669529663686,3.535533905932738e-10,64.51544993495972
C->E,0.0017677669529663686,3.535533905932738e-10,64.51544993495972
C->D,0.0018027756377319946,3.60555127546399e-10,64.43028323846582
D->E,0.001903943276465977,3.8078865529319545e-10,64.19315998882513
A->D,0.001903943276465977,3.8078865529319545e-10,64.19315998882513
D->F,0.0019525624189766636,3.905124837953328e-10,64.08365078158597
B->D,0.00206155281280883,4.123105625617661e-10,63.84775539310863
B->F,0.002136000936329383,4.272001872658766e-10,63.69368565603753
A->C,0.0023717082451262844,4.74341649025257e-10,63.23908740944319
E->F,0.0030923292192132456,6.184658438426492e-10,62.086842802551814
D->C->E,0.003570542590698363,7.141085181396728e-10,61.46235786475725
B->A->D,0.0036717102294323454,7.343420458864693e-10,61.34101604879874
C->E->D,0.0036717102294323454,7.343420458864693e-10,61.34101604879874
A->D->C,0.0037067189141979716,7.413437828395944e-10,61.299803502301586
C->D->E,0.0037067189141979716,7.413437828395944e-10,61.299803502301586
C->D->F,0.003755338056708658,7.510676113417318e-10,61.24320965910685
A->D->E,0.003807886552931954,7.615773105863909e-10,61.18286003218532
A->B->D,0.0038293197657751988,7.658639531550398e-10,61.15848370891632
A->D->F,0.0038565056954426406,7.713011390885283e-10,61.12776027253454
E->D->F,0.0038565056954426406,7.713011390885283e-10,61.12776027253454
B->D->C,0.0038643284505408245,7.728656901081651e-10,61.11895971945765
A->B->F,0.0039037678892957514,7.807535778591503e-10,61.07486016907657
A->D->B,0.003965496089274807,7.930992178549616e-10,61.006724784182
B->D->E,0.003965496089274807,7.930992178549616e-10,61.006724784182
B->D->F,0.004014115231785494,8.028230463570989e-10,60.95380168867594
B->F->D,0.004088563355306047,8.177126710612094e-10,60.873992724823005
A->C->E,0.0041394751980926535,8.278950396185308e-10,60.82024719500042
B->A->C,0.0041394751980926535,8.278950396185308e-10,60.82024719500042
A->C->D,0.004174483882858279,8.348967765716561e-10,60.78367215697816
D->B->F,0.004197553749138213,8.395107498276427e-10,60.759737384051036
C->A->D,0.004275651521592262,8.551303043184525e-10,60.67967702658212
C->E->F,0.004860096172179614,9.72019234435923e-10,60.123251411161796
D->E->F,0.004996272495679223,9.992544991358446e-10,60.00323887655827
D->F->E,0.005044891638189909,1.008978327637982e-09,59.961181620964076
B->F->E,0.005228330155542629,1.045666031108526e-09,59.8060699998699
A->D->C->E,0.00547448586716434,1.0948971734328682e-09,59.60626665397014
B->A->D->C,0.00547448586716434,1.0948971734328682e-09,59.60626665397014
E->C->D->F,0.005523105009675027,1.1046210019350056e-09,59.567867038809695
B->A->D->E,0.005575653505898322,1.1151307011796647e-09,59.52674227257546
A->D->E->C,0.005575653505898323,1.1151307011796647e-09,59.52674227257546
C->E->D->F,0.005624272648409009,1.124854529681802e-09,59.489036384783404
B->A->D->F,0.005624272648409009,1.124854529681802e-09,59.489036384783404
B->D->C->E,0.005632095403507193,1.1264190807014388e-09,59.48300001514143
A->B->D->C,0.005632095403507193,1.1264190807014388e-09,59.48300001514143
B->D->E->C,0.0057332630422411756,1.1466526084482354e-09,59.40568136663351
A->B->D->E,0.0057332630422411756,1.1466526084482352e-09,59.40568136663351
A->B->D->F,0.005781882184751863,1.1563764369503726e-09,59.36900766367248
D->A->B->F,0.005807711165761728,1.161542233152346e-09,59.34964994824946
A->B->F->D,0.005856330308272415,1.171266061654483e-09,59.31344440552333
B->F->D->C,0.005891338993038041,1.1782677986076084e-09,59.28755991179031
B->A->C->E,0.005907242151059022,1.1814484302118047e-09,59.27585230411839
B->A->C->D,0.005942250835824648,1.1884501671649297e-09,59.25019023930769
A->D->F->B,0.0059925066317720235,1.1985013263544048e-09,59.21361481006147
B->F->D->E,0.0059925066317720235,1.1985013263544048e-09,59.21361481006147
C->D->B->F,0.006000329386870207,1.2000658773740418e-09,59.207949127900925
D->A->C->E,0.00604341847455863,1.2086836949117262e-09,59.17687336465325
A->C->E->D,0.00604341847455863,1.2086836949117262e-09,59.17687336465325
A->C->D->E,0.006078427159324256,1.2156854318648515e-09,59.15178787628153
E->D->B->F,0.00610149702560419,1.2202994051208382e-09,59.13533600440948
A->D->B->F,0.00610149702560419,1.2202994051208382e-09,59.13533600440948
A->C->D->F,0.006127046301834943,1.2254092603669888e-09,59.117188420462654
C->A->D->E,0.0061795947980582385,1.235918959611648e-09,59.08010005418194
C->A->B->D,0.006201028010901484,1.240205602180297e-09,59.06506311216375
C->A->D->F,0.0062282139405689255,1.2456427881137853e-09,59.04606482069235
A->C->D->B,0.006236036695667109,1.2472073391334222e-09,59.04061342226071
C->A->B->F,0.006275476134422036,1.2550952268844075e-09,59.01323322038336
B->D->A->C,0.006337204334401091,1.2674408668802187e-09,58.97072293759277
D->C->E->F,0.006662871809911609,1.332574361982322e-09,58.753085465809505
C->D->E->F,0.006799048133411217,1.3598096266822438e-09,58.66521888591987
C->E->F->D,0.006812658591156278,1.3625317182312557e-09,58.65653379038495
C->D->F->E,0.006847667275921903,1.3695334551843812e-09,58.63427354264709
A->D->E->F,0.0069002157721452,1.38004315442904e-09,58.60107332847047
A->D->F->E,0.006948834914655887,1.3897669829311774e-09,58.570580101850794
B->F->E->C,0.0069960971085089975,1.3992194217017996e-09,58.541141753136976
A->B->F->E,0.006996097108508997,1.3992194217017996e-09,58.541141753136976
